Pair,Genotype,Longitude,Latitude,Elevation (masl),Race,Elevation class
SA_5,CIMMYTMA-008360,"-76,189,678",-10135505,2301,NA,High
SA_5,CIMMYTMA-008962,"-78,417,459",-9241315,49,PERLA,Low
SA_6,CIMMYTMA-012085,"-77,240,432",-9385108,3524,NA,High
SA_6,CIMMYTMA-014588,"-75,513,495",-9028934,306,NA,Low
SA_7,CIMMYTMA-012231,"-7,289,971",-13650254,2154,CHUNCH,High
SA_7,CIMMYTMA-017281,"-65,195,133",-14389555,149,NA,Low
SA_8,CIMMYTMA-012342,"-78,041,914",-7804269,3217,SHAJAT,High
SA_8,CIMMYTMA-026062,"-76,692,725",-7174336,269,NA,Low
SA_9,CIMMYTMA-016832,"-7,646,666,667",-1273333333,260,NA,Low
SA_9,CIMMYTMA-018242,"-722,085",-13420293,3326,PISCCO,High
